28	2	187	283	
437	1	179	3034	
1	2	422	2441	
665	2	5506	3913	
473	22	397	3916	
4092	21	139	699	
620	31	397	3929	
4196	40	104	1714	
257	40	914	2613	
1288	6	4013	650	
481	78	2499	2633	
219	6	2206	748	
4811	1	3197	2076	
1284	21	29	1864	
3693	78	435	319	
1124	17	165	3796	
380	12	35	3700	
30	26	318	1091	
115	0	16	3315	
358	6	27	181	
58	1	29	648	
227	2	506	298	
29	6	40	812	
4573	8	771	2287	
7603	2	373	3671	
9507	1	10083	3792	
151	1	1916	2229	
4071	7	671	3696	
35	49	1475	2661	
212	2	1909	593	
303	1	249	2446	
51	6	1148	2329	
83	1	129	334	
98	22	1172	2097	
380	4	182	3188	
29	1	40	2659	
2171	6	421	1633	
6681	1	15	3942	
473	22	2810	2334	
11	7	28	2727	
1858	1	16	3778	
2810	6	5021	3916	
185	49	40	208	
439	13	138	3425	
2810	6	5021	3062	
3445	0	6737	3880	
1701	0	16	621	
2810	1	58	1398	
347	1	58	555	
58	16	16	1674	
323	16	219	443	
58	78	40	961	
29	63	422	629	
845	2	3958	999	
2810	0	473	3000	
185	17	51	530	
29	22	1235	2313	
58	16	16	1591	
43	59	5149	3025	
5522	1	6699	3821	
3238	1	16	3535	
98	9	349	1373	
58	6	29	819	
1916	1	7808	3999	
834	1	2499	2270	
58	45	40	853	
9101	153	313	3065	
1041	2	5946	1403	
28	1	200	2672	
1229	4	16	38	
1162	22	181	2568	
1548	21	3573	2438	
2810	6	131	1582	
1321	4	16	2067	
57	6	443	433	
28	42	11	563	
7468	8	35	3611	
615	21	29	2763	
16	19	141	989	
255	22	2635	3036	
58	19	40	304	
2060	21	40	2158	
58	43	323	2177	
1600	6	92	444	
780	1	458	583	
4920	1	5557	3961	
1600	2	5021	3768	
124	2	58	433	
473	45	30	622	
824	1	214	3649	
138	4	35	3281	
2810	85	58	3641	
1173	1	58	1547	
347	1	58	3824	
840	44	30	3312	
130	6	2810	1556	
2094	121	99	1163	
181	2	1	420	
851	53	1247	2095	
364	6	1199	1728	
107	9	1961	2246	
29	2	40	648	
29	29	40	2481	
1695	14	1506	676	
51	12	30	54	
1284	2	428	2659	
3083	4	7811	3831	
28	56	10	1440	
2916	4	318	188	
1795	24	181	3005	
124	1	58	1222	
331	17	733	1990	
182	4	138	1805	
29	4	40	3768	
2408	1	2111	2749	
29	6	58	1423	
2094	6	261	1785	
2428	4	2171	1795	
58	45	219	971	
7409	1	3117	1875	
2769	1	117	3382	
28	4	11	528	
5020	13	1235	1046	
584	56	109	536	
43	22	417	3802	
371	28	569	2594	
1646	1	364	2706	
9053	11	98	3048	
1494	1	47	632	
89	7	90	2042	
30	75	51	3005	
4685	9	201	3928	
130	22	1395	1966	
6056	1	1044	1971	
58	11	29	2273	
357	21	15	227	
43	22	2789	677	
1600	31	4578	1332	
2350	151	1479	1726	
210	22	1600	272	
28	37	11	3749	
8794	31	12	3341	
4715	26	2830	528	
2094	6	255	862	
57	26	1013	689	
36	6	11	2249	
401	18	400	3749	
8492	11	8	2464	
64	1	58	1571	
1199	45	364	2948	
58	22	537	2635	
476	1	169	987	
255	22	371	1482	
6393	22	1868	1740	
179	16	58	111	
83	0	60	3713	
58	26	65	1031	
9647	2	454	3593	
2275	1	1374	2788	
8077	81	11	3120	
4105	1	182	3666	
481	6	54	1937	
15	22	2094	1115	
99	21	139	411	
58	22	805	1043	
1321	1	16	3059	
687	0	5021	3004	
437	2	1098	3623	
58	17	57	2997	
2810	6	1	2455	
28	11	11	3587	
2919	1	4547	1553	
4623	40	874	544	
1124	2	3344	256	
35	4	182	185	
58	22	1148	2141	
1236	1	290	342	
2060	6	482	1911	
25	1	1342	3466	
25	1	10	455	
2810	21	40	2143	
331	1	733	2000	
476	76	117	1094	
130	1	196	87	
35	4	182	3778	
83	6	60	773	
1469	4	692	1262	
2171	2	1775	1430	
1228	134	51	2149	
16	61	141	1732	
2401	12	35	3505	
2171	20	16	1887	
487	1	196	3769	
778	13	3030	207	
16	2	7745	2658	
4673	0	25	2644	
10386	9	850	3884	
16	45	179	3862	
77	11	129	3952	
6439	2	4557	3873	
