31	2	1693	2227	
29	22	81	167	
58	1	40	3535	
4611	18	850	2809	
422	6	30	2020	
2	21	43	340	
195	21	54	1097	
54	10	42	1559	
58	2	29	3044	
58	0	447	718	
402	29	757	1916	
7274	20	58	3376	
238	6	179	591	
28	8	11	1078	
2094	47	1506	2566	
4544	201	32	1105	
610	1	65	1334	
124	1	58	728	
2745	25	600	2334	
219	1	1775	3821	
640	11	1693	1604	
1695	21	179	370	
159	1	148	3238	
33	14	3007	3106	
332	7	51	3053	
399	4	1600	630	
43	16	16	608	
97	11	58	132	
972	64	971	2516	
3611	7	148	303	
2866	2	4154	3847	
170	1	2076	285	
10	1	28	1632	
824	21	65	395	
851	31	12	3331	
2094	1	16	1508	
2755	7	786	982	
1023	11	179	1187	
83	11	129	280	
397	21	58	3695	
1116	31	15	1171	
15	0	2810	1405	
28	42	11	2159	
1526	9	536	1021	
124	1	58	2126	
1775	21	219	314	
190	11	126	405	
187	8	11	2607	
28	4	240	1445	
237	1	185	208	
733	21	58	3022	
30	9	4923	599	
54	22	422	2478	
2	2	503	1105	
28	13	11	2927	
1868	0	226	861	
299	45	1749	2274	
190	4	624	1443	
344	13	257	2133	
1	22	1103	240	
347	4	1173	1294	
15	6	16	2866	
628	1	3403	558	
197	9	198	2980	
0	18	49	229	
77	11	32	1061	
4931	13	182	3338	
179	6	58	3713	
357	2	1235	557	
219	6	141	1019	
437	2	4527	1903	
35	4	182	3548	
5021	1	58	3989	
2728	7	58	3940	
1082	22	1659	857	
686	22	1235	736	
54	4	57	2001	
514	11	713	241	
483	6	238	1726	
1582	19	7186	2040	
874	0	2524	538	
28	10	11	3996	
31	2	880	886	
8305	62	1440	2641	
2623	115	4958	609	
349	18	693	3778	
28	30	11	3372	
85	9	75	620	
1013	2	29	266	
3173	4	2306	620	
4956	1	138	3954	
675	1	83	3684	
2810	1	371	3090	
28	9	4962	2952	
98	9	349	3946	
141	2	1441	2907	
83	1	60	893	
8458	6	1199	2731	
3062	40	2761	729	
1449	2	511	3166	
263	4	40	2790	
99	1	139	908	
5415	13	35	2832	
331	1	6744	1551	
29	45	58	2550	
7330	1	40	2131	
30	31	40	98	
15	37	16	3035	
201	24	1228	1650	
2919	9	1341	1004	
948	1	240	95	
83	21	54	1116	
1004	139	60	2106	
836	1	131	1510	
16	0	2094	1333	
834	1	179	1961	
54	22	970	860	
181	2	733	2001	
58	80	1675	2533	
1720	9	201	1162	
714	2	8533	2820	
1908	8	20	1059	
90	41	1802	1553	
138	55	35	2005	
620	2	1176	3114	
364	2	363	1089	
1686	116	461	2852	
2810	17	98	1406	
138	1	182	3078	
2196	2	7588	3148	
2109	26	4741	3550	
30	17	323	530	
104	9	92	3750	
275	1	98	3707	
219	16	318	1634	
210	22	1661	1322	
189	4	57	595	
272	2	1802	1262	
1209	2	365	3384	
973	2	9019	3867	
439	1	182	2987	
185	6	30	3147	
532	123	533	3359	
10029	0	419	3908	
219	6	65	558	
3766	1	299	1831	
733	45	2810	2142	
3144	21	20	1183	
824	1	1225	1944	
99	115	49	564	
163	2	9531	3427	
40	17	58	773	
108	11	40	591	
49	8	0	1133	
421	1	58	3259	
28	49	11	2083	
28	37	331	2650	
1449	0	16	3410	
197	9	198	1181	
3958	16	58	479	
15	0	40	820	
1475	29	35	3894	
1057	25	1467	780	
240	1	28	2862	
476	19	117	1535	
1693	121	2810	1922	
57	9	75	2353	
11	6	30	13	
130	22	5404	1876	
9368	1	1697	3330	
58	45	29	3897	
29	31	40	3786	
2933	20	8671	2634	
728	1	98	1882	
8768	1	8824	3745	
92	4	1050	1020	
2094	13	269	578	
40	15	41	16	
3583	7	32	297	
3177	20	30	2054	
31	1	1235	510	
38	2	4994	2669	
58	2	29	1733	
2515	21	29	3926	
11	6	1571	3823	
967	1	40	3408	
219	16	318	1669	
54	65	141	467	
60	22	422	1656	
2635	21	58	3384	
60	22	1939	899	
1711	19	397	3733	
124	1	58	1566	
840	147	30	2994	
476	1	117	1122	
605	2	714	1934	
1667	1	1430	3117	
1693	0	1821	2200	
182	4	35	2217	
2956	1	58	1714	
179	17	30	26	
972	13	971	3268	
1686	116	461	2817	
138	1	182	3464	
1480	4	733	2712	
138	1	380	3973	
108	1	29	706	
263	6	1172	2680	
5481	1	30	1252	
3958	21	58	3571	
3740	6	4527	2266	
9533	1	1001	3771	
1321	1	16	2333	
117	63	1596	916	
141	11	42	1216	
29	1	58	808	
103	12	30	951	
130	6	3133	591	
181	1	1693	3034	
98	22	2810	2726	
58	22	1	1951	
83	2	60	520	
113	0	1225	3924	
2060	6	124	1442	
182	45	35	2426	
1793	1	34	1451	
1040	6	2408	1681	
447	26	40	1390	
5332	21	196	2840	
